What is your age?,What is your gender?,Which region do you live in?,What is your highest level of education?,What is your occupation?,What is your approximate annual income?,What is your skin type?,How concerned are you about UVB rays (Burning)?,How concerned are you about UVA rays (Aging)?,How concerned are you about Blue Light?,How concerned are you about Pollution?,How concerned are you about Skin Dryness?,How sensitive are you to sunscreen texture (stickiness/greasiness)?,How price sensitive are you regarding skincare products?,How loyal are you to your current skincare brands?,How comfortable are you with digital technology/shopping?,How often do you currently use sunscreen?,Which brand do you currently use most often?,Where do you prefer to buy skincare products?,What SPF level do you prefer?,What product texture do you prefer?,What is the maximum you are willing to pay for a 50ml premium facial sunscreen?,Would you be willing to buy a specific winter sunscreen?,How likely are you to recommend your current sunscreen to a friend?,How satisfied are you with your current sunscreen?,What prevents you from using sunscreen in winter? (Select all that apply)
38,Female,Valencia,Bachelors,Service,60K-80K,Fair,10.0,9.1,4.7,6.1,8.3,8.9,5.1,6.3,6.0,Often,La Roche-Posay,Pharmacy,50,Fluid,23.17,Yes,7,7.1,I dislike the heavy texture
52,Female,Other,High School,Other,25K-40K,Dark,1.0,2.2,2.5,2.2,1.3,1.0,6.6,2.9,2.4,Often,Other,Department Store,15,Spray,30.33,No,5,5.9,"I don't see enough sun in winter, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage, It is too time consuming"
41,Female,Other,High School,Tech,25K-40K,Fair,6.4,1.7,1.0,5.0,2.6,7.0,4.0,4.3,4.6,Rarely,Other,Supermarket,50,Lotion,25.3,No,2,5.8,"I don't see enough sun in winter, It is too expensive, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage"
42,Female,Málaga,High School,Tech,25K-40K,Brown,5.1,1.0,2.6,3.1,1.0,2.0,5.1,1.5,1.0,Rarely,Store Brand,Department Store,30,Cream,23.66,No,7,6.1,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I only need it at the beach, I am unaware of winter sun damage, It is too time consuming"
52,Male,Valencia,Bachelors,Manufacturing,40K-60K,Medium,7.2,1.0,1.0,3.7,1.0,2.6,5.1,3.3,6.8,Rarely,NIVEA,Department Store,50,Lotion,21.62,Yes,5,6.4,"It is too expensive, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage"
45,Female,Málaga,High School,Education,40K-60K,Medium,4.6,3.8,1.0,1.0,2.5,5.7,8.2,2.8,1.0,Never,ISDIN,Department Store,50,Spray,13.28,No,9,6.5,"I don't see enough sun in winter, I dislike the heavy texture, I only need it at the beach"
42,Female,Other,High School,Tech,25K-40K,Very Fair,7.3,4.1,1.3,1.0,3.4,4.3,5.0,5.4,6.9,Often,Other,Department Store,30,Lotion,27.07,No,1,8.5,"I don't see enough sun in winter, I dislike the heavy texture, I am unaware of winter sun damage"
48,Female,Other,Bachelors,Office Worker,40K-60K,Medium,1.0,1.0,1.0,1.0,1.2,1.1,7.5,1.0,6.1,Rarely,ISDIN,Supermarket,15,Fluid,10.09,No,5,6.7,"I don't see enough sun in winter, It is too expensive, I forget to apply it, I am unaware of winter sun damage, It is too time consuming"
44,Female,Other,Masters,Office Worker,25K-40K,Olive,3.3,2.0,3.9,3.4,1.0,3.7,7.7,4.5,2.9,Rarely,La Roche-Posay,Supermarket,30,Spray,10.0,No,4,6.4,"I don't see enough sun in winter, It is too expensive, I only need it at the beach, It is too time consuming"
48,Female,Málaga,Bachelors,Retail,40K-60K,Medium,1.4,3.5,5.3,3.7,3.6,3.2,5.6,5.1,3.1,Often,ISDIN,Supermarket,15,Spray,18.22,No,7,7.0,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I only need it at the beach, It is too time consuming"
