Nombre,Sector,Descripción,Tecnología
Airtool,Business Platforms & SaaS,"Business technology platforms for enterprise management apps.",Business Platforms & SaaS
Ephion Health,Technology & AI,"AI for pharma companies to reduce costs.",Artificial Intelligence (AI)
Barça Innovation Hub,Investment & Business Services,"Invests in startups focused on sports and health.",Investment & Networking
ELEM,Health & Smart Infrastructure,"Creates virtual humans for clinical trials.",Artificial Intelligence (AI)
Santander Startups,Investment & Business Services,"Provides financing for startups.",Investment & Networking
BIND Euskadi,Investment & Business Services,"Matches industrial companies with startups.",Investment & Networking
Orpheus,Industrial & Robotics,"Measures air quality and occupancy levels.",IoT & Sensors
maite.ia,Technology & AI,"AI chatbot specialized in legal cases.",Artificial Intelligence (AI)
Sentimer,Technology & AI,"AI-powered virtual sales agent.",Artificial Intelligence (AI)
Awayter Connect,Industrial & Robotics,"IoT solutions for industrial clients.",IoT & Sensors
Cooryc Robotics,Industrial & Robotics,"Manufactures 3D-printed robotic products.",Automation & Robotics
Qonto,Business Platforms & SaaS,"SME financial management platform.",Business Platforms & SaaS
Cyraco,Technology & AI,"Augmented reality monitoring for industrial control.",IoT & Sensors
Scalefusion,Technology & AI,"Device management and security.",Artificial Intelligence (AI)
Mossos d'Esquadra,Health & Smart Infrastructure,"AI-powered smart policing.",Artificial Intelligence (AI)
Invelon,Industrial & Robotics,"Domestic robot design.",Automation & Robotics
Tax Down - Deloitte 100,Tax Return,"AI-Driven Tax return from home.",Artificial Intelligence (AI)
Peimi,Investment & Business Services,"Calculates commission return in collab with Sales Force.",Artificial Intelligence (AI)
M47 - AI COMPANY,Technology & AI,"Perform AI functions for integrated solutions. Worked with Apple Seat and Supercomputing center.",Artificial Intelligence (AI)
Barcelona Supercomputing Center,Technology & AI,"Lead supercomputing center in Barcelona.",Quantum Computing
ZabonEx,Technology & AI,"Efficient modelling for Supermarkets to reduce waste and improve efficiency.",Artificial Intelligence (AI)
Kvistly,Business Platforms & SaaS,"Online quiz website for improved employee relations and training.",Business Platforms & SaaS
TalentFY,Technology & AI,"Through AI find best recruiters to match to headhunters. Use 37 criteria.",Artificial Intelligence (AI)
Playcomp,Gaming,"Gaming to improve entrepreneurial skills.",Automation & Robotics
Kexxu,Industrial & Robotics,"Eye tracking through optical flow and deep learning for AI.",IoT & Sensors
Microsoft for startups,Technology & AI,"Platform for startup mentorship.",Artificial Intelligence (AI)
Lime AI,Technology & AI,"Stress reliever AI uses many LLM's according to situation.",Artificial Intelligence (AI)
Manomation,Industrial & Robotics,"Monitor hand movements for industrial applications cross-platform technology (nvidia and apple).",IoT & Sensors
BleeqUp,Technology & AI,"AI cycling glasses.",IoT & Sensors
Kronis,Business Platforms & SaaS,"Software to streamline access to European public grants discover funding programmes and justify the expenses without the hassle.",Artificial Intelligence (AI)
Kiversal,Technology & AI,"We develop and manufacture high-quality medical equipment with secure and effective internet connectivity to improve diagnosis and people's health.",Artificial Intelligence (AI)
Toolza,Business Platforms & SaaS,"Accounting for both fiat and crypto with Streamlined CRM.",Artificial Intelligence (AI)
Suiffland,Gaming,"Interactive and motivating fitness experiences to encourage exercise adherence.",Business Platforms & SaaS
Visor.ai,Technology & AI,"Artificial Intelligence-powered platform that enables to optimize and automate Customer Service interactions without coding.",Artificial Intelligence (AI)
Qilimanjaro,Technology & AI,"Deep-tech startup that brings practical applications of quantum computing to the market in a shorter timeframe than digital quantum computers.",Quantum Computing
Vessl.ai,Technology & AI,"Software for making businesses bureaucratic processes faster and more efficiently.",Artificial Intelligence (AI)
